anio,mes,recaudacion,emae,ipc_argentina,ipc_cordoba,ipc_tucuman,ipc_santafe,ipc_gba,ipc_mendoza,exportaciones,importaciones,dolar_blue,dolar_oficial,monedas_publico,ingresos_familiares
1978,4,,,,,0.1231631957122287,,,8.637387567016818e-08,,,,,,
1978,5,,,,,0.0765541141472689,,,9.408849849864587e-08,,,,,,
1978,6,,,,,0.0610827502905718,,,1.0055719703046037e-07,,,,,,
1978,7,,,,,0.0599827102025912,,,1.0507517103946881e-07,,,,,,
1978,8,,,,,0.0898950397147025,,,1.163206899389695e-07,,,,,,
1978,9,,,,,0.0763685546166931,,,1.2565158977072373e-07,,,,,,
1978,10,,,,,0.1172096638383315,,,1.3325035757522069e-07,,,,,,
1978,11,,,,,0.0703052228393414,,,1.5389353706668286e-07,,,,,,
1978,12,,,,,0.097490601944973,,,1.632254525431713e-07,,,,,,
1979,1,,,,,0.1059305860829967,,,1.7699871091822677e-07,,,,,,
1979,2,,,,,0.0954449436196483,,,1.9215334626584047e-07,,,,,,
1979,3,,,,,0.1189603194003096,,,2.1038348261244025e-07,,,,,,
1979,4,,,,,0.0433505667613291,,,2.2508419628812445e-07,,,,,,
1979,5,,,,,0.0522507851576131,,,2.465861248596721e-07,,,,,,
1979,6,,,,,0.0716543963211072,,,2.741306532348807e-07,,,,,,
1979,7,,,,,0.0768072289156626,,,2.892592394407894e-07,,,,,,
1979,8,,,,,0.1285755340549859,,,3.225499853203807e-07,,,,,,
1979,9,,,,,0.0826061861270499,,,3.487275846269972e-07,,,,,,
1979,10,,,,,0.0310481088879132,,,3.648423904795665e-07,,,,,,
1979,11,,,,,0.0409113030782333,,,3.835772021250971e-07,,,,,,
1979,12,,,,,0.0691096110575378,,,4.099722495388295e-07,,,,,,
1980,1,,,,,0.0605149510741812,,,4.281726890055942e-07,,,,,,
1980,2,,,,,0.0382731958762886,,,4.556848741027167e-07,,,,,,
1980,3,,,,,0.0542385503289065,,,4.735452156320642e-07,,,,,,
1980,4,,,,,0.0552154461973157,,,4.986081949098431e-07,,,,,,
